Branch_ID,Branch_Name,City,Region,Branch_Type,Customers,Deposits,Loans,Interest_Income,Fee_Income,Employee_Cost,Rent_Expense,Other_Operating_Expense,Loan_Defaults,Month,Year
BR001,MG Road Branch,Bengaluru,South,Metro,34350,33471.22,24373.35,187.6,70.85,39.15,24.36,13.91,8,January,2025
BR002,Indiranagar Branch,Bengaluru,South,Metro,29643,22726.97,16817.3,133.57,52.5,51.55,18.02,20.79,10,January,2025
BR003,Koramangala Branch,Bengaluru,South,Metro,24076,20869.67,13731.36,101.83,50.63,41.3,22.91,18.1,14,January,2025
BR004,Whitefield Branch,Bengaluru,South,Urban,12582,10183.2,6859.2,52.85,21.42,20.07,9.33,8.01,3,January,2025
BR005,Hubli Main Branch,Hubli,South,Urban,15633,9610.08,5674.67,37.81,21.17,27.84,11.64,5.91,1,January,2025
BR006,Mysore Central Branch,Mysore,South,Urban,19537,12272.63,8274.66,59.18,36.08,25.93,9.27,8.95,5,January,2025
BR007,Chennai Central Branch,Chennai,South,Metro,29159,31398.01,26193.68,225.08,86.51,28.59,19.11,10.69,17,January,2025
BR008,Coimbatore Main Branch,Coimbatore,South,Urban,18027,11901.35,7705.21,56.15,34.46,15.68,6.37,8.23,3,January,2025
BR009,Hyderabad Central Branch,Hyderabad,South,Metro,24912,19126.51,11804.94,95.05,44.9,27.65,19.06,7.55,13,January,2025
BR010,Pune Camp Branch,Pune,West,Metro,33532,30089.25,22793.16,161.83,66.83,52.11,29.38,15.7,6,January,2025
BR011,Mumbai Andheri Branch,Mumbai,West,Metro,26880,21766.27,16351.59,125.83,71.4,31.65,20.1,11.9,10,January,2025
BR012,Nagpur Main Branch,Nagpur,West,Urban,18513,14570.86,10565.59,80.21,24.98,20.26,8.93,7.94,6,January,2025
BR013,Ahmedabad Central Branch,Ahmedabad,West,Metro,18097,14217.31,9419.0,72.08,36.8,34.36,22.83,17.34,1,January,2025
BR014,Jaipur Main Branch,Jaipur,North,Urban,11590,8056.34,4962.56,39.98,19.7,22.84,5.98,9.51,2,January,2025
BR015,Delhi Connaught Branch,Delhi,North,Metro,28815,24074.99,18626.12,141.15,69.11,31.03,20.12,13.31,15,January,2025
BR016,Lucknow Central Branch,Lucknow,North,Urban,11471,6318.46,3494.72,23.59,14.29,26.71,10.65,7.14,3,January,2025
BR017,Kolkata Central Branch,Kolkata,East,Metro,28245,19617.97,12235.4,85.61,40.53,34.7,12.09,10.9,4,January,2025
BR018,Bhubaneswar Main Branch,Bhubaneswar,East,Urban,11427,8938.47,6718.95,48.98,18.67,19.87,9.92,8.18,4,January,2025
